Bin,Correlation_loth,Correlation_markhvida,Correlation_DuNing,Correlation_vitor
0.0,0.9999999999999998,1.0,1.0,0.9999999999999998
1.0,0.8316910757403247,0.8020597950427637,0.9101059987233071,0.7156826105396252
2.0,0.7845974606903312,0.754469795658135,0.8887178964571224,0.6966558211599981
3.0,0.7423717521145068,0.7154182584584318,0.8692691419242532,0.6784943974744823
4.0,0.7044068659023902,0.6831482553863966,0.8514680886654276,0.6611551371495084
5.0,0.6701773023317751,0.6562789037065373,0.8350714975289986,0.64459703199773
6.0,0.639227906929137,0.6337222287018816,0.8198762506440986,0.6287811613238572
7.0,0.6111641916121525,0.6146189778620593,0.805712509501047,0.6136705897339364
8.0,0.5856439989993062,0.5982889452756477,0.792438062355507,0.5992302693066682
9.0,0.5623703230047414,0.5841924307363829,0.7799336515042242,0.5854269460165363
10.0,0.5410851248588352,0.5719002630974438,0.7680991081995698,0.5722290702915817
11.0,0.5215640060929442,0.5610704264449106,0.7568501535349066,0.559606711583381
12.0,0.5036116193052691,0.551429789212293,0.7461157487377356,0.5475314768229095
13.0,0.48705771411824317,0.5427597867695255,0.7358358989324248,0.5359764326333701
14.0,0.4717537300203345,0.534885174559022,0.7259598313823417,0.5249160311695343
15.0,0.4575698600784874,0.5276651719969886,0.7164444831512872,0.5143260394525356
16.0,0.44439252008870866,0.5209864725095216,0.7072532445765817,0.5041834720692615
17.0,0.43212216683999116,0.5147577138250853,0.6983549143642529,0.49446652710635813
18.0,0.4206714170060806,0.5089050937405644,0.689722829864153,0.48515452519033286
19.0,0.4099634249272346,0.5033688866193999,0.6813341424578295,0.476227851507168
20.0,0.39993048335211356,0.49810066986088153,0.673169213239455,0.4676679006772215
21.0,0.39051281620917194,0.49306111128279034,0.6652111084909816,0.4594570243638587
22.0,0.3816575367800237,0.4882182006568155,0.6574451780119407,0.4515784814972206
23.0,0.3733177483512011,0.48354583371100796,0.6498587022972784,0.4440163909976912
24.0,0.3654517676089397,0.47902267642975693,0.6424405969746244,0.43675568688696437
25.0,0.35802245378596587,0.47463125270960077,0.6351811649066367,0.4297820756780617
26.0,0.35099662893152256,0.470357210340531,0.6280718880096763,0.4230819959391999
27.0,0.3443445767092682,0.46618872962266455,0.6211052521986259,0.4166425799299971
28.0,0.3380396088780446,0.4621160462700362,0.6142745999898537,0.41045161721213924
29.0,0.3320576901172094,0.45813106603821435,0.6075740062217929,0.4044975201402494
30.0,0.3263771131552315,0.454227053081224,0.6009981731195913,0.3987692911423198
31.0,0.32097821727674813,0.4503983776597973,0.594542341564949,0.39325649170263965
32.0,0.31584314424440896,0.4466403116919931,0.5882022159577958,0.387949212963679
33.0,0.3109556264992199,0.4429488629181031,0.5819739004919008,0.38283804786686776
34.0,0.3063008032154012,0.439320640268711,0.5758538450276123,0.3779140647555872
35.0,0.3018650603989545,0.4357527444750078,0.5698387990445466,0.37316878236702833
36.0,0.2976358917470621,0.43224267912011793,0.5639257724059314,0.36859414614279046
37.0,0.2936017774399364,0.42878827825913385,0.5581120018731563,0.3641825057912439
38.0,0.2897520784280502,0.42538764748089825,0.5523949224811758,0.3599265940377149
39.0,0.28607694411459145,0.422039115883575,0.5467721430287403,0.35581950650151833
40.0,0.2825672316230763,0.41874119691810296,0.541241425056861,0.3518546826416961
41.0,0.27921443508984756,0.4154925564421453,0.535800664788598,0.3480258877160752
42.0,0.2760106236362728,0.4122919866406481,0.530447877586489,0.34432719570091286
43.0,0.27294838686068196,0.4091383847224095,0.5251811845535556,0.34075297312093294
44.0,0.2700207868495996,0.4060307355069222,0.5199988009620716,0.3372978637420139
45.0,0.2672213158452173,0.40296809718161863,0.5148990262431065,0.33395677408113755
46.0,0.2645438588243609,0.3999495896440699,0.5098802353108242,0.3307248596904527
47.0,0.261982660346158,0.3969743849527211,0.5049408710299296,0.32759751217447514
48.0,0.259532295113396,0.39404169949826257,0.5000794376635902,0.3245703469015006
49.0,0.2571876417682121,0.3911507875796415,0.495294495163547,0.32163919137228536
50.0,0.2549438595079488,0.3883009361271757,0.4905846541846825,0.3188000742109332
51.0,0.25279636716315024,0.38549146036279147,0.4859485717236583,0.3160492147447261
52.0,0.2507408244281075,0.3827217002261039,0.4813849472959304,0.31338301314135136
53.0,0.24877311497607418,0.37999101742658997,0.4768925195778587,0.310798041073617
54.0,0.2468893312272428,0.3772987930077793,0.4724700634511751,0.3082910328833041
55.0,0.24508576056860115,0.37464442533032905,0.4681163873960152,0.30585887721728805
56.0,0.24335887285153235,0.3720273283979097,0.4638303311863219,0.30349860911047294
57.0,0.2417053090160986,0.369446930463772,0.45961076384791777,0.30120740249143046
58.0,0.24012187071086447,0.3669026728672112,0.45545658184504506,0.2989825630879093
59.0,0.2386055107942991,0.36439400905843233,0.45136670746590996,0.29682152171058857
60.0,0.237153324618631,0.3619204037778955,0.4473400873817818,0.2947218278946136
61.0,0.2357625420098493,0.3594813323623959,0.4433756913576591,0.2926811438795385
62.0,0.23443051986861166,0.3570762801551992,0.4394725110954734,0.2906972389093393
63.0,0.2331547353263865,0.35470474200167473,0.435629559193338,0.28876798383514996
64.0,0.23193277939943693,0.3523662218152471,0.4318458682065452,0.2868913460043061
65.0,0.23076235109040494,0.3500602322012412,0.4281204897978804,0.28506538442017193
66.0,0.22964125189345763,0.3477862941284553,0.42445249396646223,0.28328824515805523
67.0,0.2285673806643173,0.34554393664014066,0.4208409683456957,0.28155815702332976
68.0,0.22753872882115242,0.34333269659756704,0.4172850175621587,0.27987342743861787
69.0,0.22655337584634078,0.3411521184505995,0.4137837626482656,0.27823243854761737
70.0,0.22560948506261838,0.33900175403070554,0.41033634050247697,0.2766336435238259
71.0,0.22470529966016667,0.3368811623626507,0.40694190339159486,0.27507556307305453
72.0,0.22383913895384078,0.3347899094918059,0.4035996184903808,0.27355678211923573
73.0,0.22300939485204418,0.3327275683245517,0.4003086674543125,0.2720759466635978
74.0,0.2222145285207574,0.3306937184797033,0.3970682460218206,0.2706317608078272
75.0,0.22145306722798896,0.328687946149267,0.3938775636427938,0.2692229839323432
76.0,0.22072360135544036,0.32670984396712777,0.3907358431305299,0.2678484280213133
77.0,0.220024781565517,0.3247590108845224,0.38764232033465446,0.26650695512647615
78.0,0.21935531611299355,0.32283505205135654,0.38459624383282953,0.26519747496228757
79.0,0.21871396829166953,0.32093757870258305,0.38159687463932734,0.26391894262531607
80.0,0.2180995540072607,0.3190662080490047,0.3786434859287839,0.2626703564311902
81.0,0.2175109394685647,0.3172205631719707,0.375735362773637,0.2614507558627829
82.0,0.21694703898964746,0.31540027292152456,0.37287180189393215,0.260259219623655
83.0,0.2164068128964235,0.3136049718176454,0.3700521114183363,0.2590948637911099
84.0,0.2158892655315485,0.3118342999542747,0.3672756106553274,0.2579568400635246
85.0,0.2153934433520423,0.3100879029058816,0.36454162987364974,0.25684433409691165
86.0,0.2149184331144886,0.3083654316363516,0.36184951009123495,0.25575656392594537
87.0,0.21446336014306286,0.30666654241002417,0.3591986028718615,0.2546927784649431
88.0,0.21402738667597468,0.3049908967047303,0.3565882701289303,0.25365225608455033
89.0,0.21360971028623554,0.3033381611267024,0.3540178839357833,0.2526343032600938
90.0,0.21320956237294514,0.30170800732725,0.35148682634206774,0.251638253287807
91.0,0.21282620671954164,0.3001001119211095,0.34899448919569703,0.25066346506532466
92.0,0.21245893811569488,0.29851415640638673,0.3465402739700101,0.24970932193305115
93.0,0.21210708103973544,0.2969498270860263,0.3441235915957739,0.24877523057318227
94.0,0.21176998839869604,0.2954068149907455,0.34174386229770704,0.24786061996335032
95.0,0.21144704032323008,0.29388481580337983,0.3394005154352458,0.24696494038201103
96.0,0.21113764301481322,0.2923835297845952,0.33709298934728965,0.24608766246286146
97.0,0.21084122764280683,0.2909026616999197,0.3348207312006999,0.24522827629571775
98.0,0.21055724928906983,0.2894419207480631,0.33258319684234644,0.24438629057142744
99.0,0.21028518593795587,0.28800102049048504,0.3303798506545119,0.2435612317685131
100.0,0.210024537509632,0.28657967878218055,0.3282101654134872,0.24275264337938285
101.0,0.20977482493477048,0.2851776177036552,0.32607362215120544,0.2419600851740469
102.0,0.2095355892687652,0.28379456349406085,0.3239697100197758,0.24118313249940235
103.0,0.20930639084371347,0.2824302464854669,0.3218979261587908,0.24042137561224278
104.0,0.20908680845649735,0.28108440103824284,0.3198577755652944,0.2396744190442581
105.0,0.20887643859137528,0.27975676547752887,0.3178487709663031,0.23894188099737582
106.0,0.208674894675574,0.2784470820307729,0.315870432693786,0.2382233927678904
107.0,0.2084818063664444,0.27715509676631195,0.3139222885620167,0.2375185981979052
108.0,0.20829681886880683,0.27588055953298096,0.3120038737472124,0.2368271531526931
109.0,0.2081195922811831,0.27462322390072486,0.310114730669389,0.23614872502265724
110.0,0.20794980096966778,0.2733828471021985,0.30825440887636185,0.23548299224864386
111.0,0.20778713296824886,0.2721591899753372,0.3064224649298246,0.2348296438694209
112.0,0.20763128940444314,0.2709520169068749,0.3046184622934525,0.23418837909021042
113.0,0.20748198394916237,0.26976109577679996,0.30284197122296896,0.2335589068712049
114.0,0.20733894228977767,0.2685861979037255,0.30109256865812256,0.23294094553507472
115.0,0.2072019016253861,0.26742709799116343,0.2993698381165332,0.23233422239250853
116.0,0.20707061018334055,0.26628357407468045,0.2976733695893484,0.23173847338488943
117.0,0.20694482675613643,0.26515540746992655,0.2960027594386794,0.23115344274325433
118.0,0.20682432025778952,0.2640423827215159,0.2943576102967656,0.23057888266272777
119.0,0.20670886929888088,0.26294428755274785,0.29273753096683247,0.2300145529916651
120.0,0.20659826177947466,0.2618609128161522,0.29114213632560815,0.22946022093478116
121.0,0.2064922944991583,0.260792052444846,0.28957104722745564,0.22891566076957404
122.0,0.20639077278347243,0.2597375034046861,0.288023890410094,0.2283806535753953
123.0,0.20629351012604732,0.25869706564720407,0.28650029840187496,0.22785498697454754
124.0,0.20620032784577608,0.2576705420633115,0.28499990943057624,0.22733845488482388
125.0,0.20611105475839206,0.25665773843776046,0.2835223673336938,0.22683085728293564
126.0,0.206025526861845,0.2556584634043465,0.28206732147019326,0.2263319999782999
127.0,0.20594358703489166,0.2546725284018435,0.28063442663370025,0.2258416943966861
128.0,0.20586508474834578,0.25369974763065545,0.27922334296709556,0.2253597573732548
129.0,0.20578987578845398,0.25273993801017325,0.27783373587849763,0.22488601095452926
130.0,0.205717821991886,0.25179291913682544,0.2764652759585993,0.2244202822088835
131.0,0.20564879099185468,0.2508585132428111,0.275117638899338,0.22396240304513332
132.0,0.20558265597488953,0.24993654515550243,0.27379050541387634,0.22351221003885216
133.0,0.20551929544782632,0.24902684225750474,0.27248356115786754,0.22306954426604753
134.0,0.20545859301457364,0.24812923444736532,0.2711964966519852,0.2226342511438443
135.0,0.20540043716225054,0.247243554100919,0.26992900720569346,0.22220618027785802
136.0,0.205344721056302,0.2463696360332573,0.26868079284223806,0.2217851853159345
137.0,0.20529134234421142,0.24550731746131388,0.2674515582248355,0.22137112380796833
138.0,0.20524020296745146,0.24465643796705552,0.26624101258404276,0.2209638570715133
139.0,0.2051912089813267,0.24381683946126434,0.2650488696462846,0.2205632500629193
140.0,0.20514427038237648,0.24298836614790767,0.263874847563519,0.2201691712537404
141.0,0.20509930094302162,0.2421708644890804,0.26271866884402445,0.21978149251217516
142.0,0.20505621805314736,0.24136418317051073,0.26158006028428843,0.21940008898930521
143.0,0.20501494256833563,0.24056817306762426,0.26045875290197884,0.2190248390099177
144.0,0.2049753986644658,0.23978268721215143,0.25935448186997806,0.21865562396770233
145.0,0.20493751369841434,0.23900758075927203,0.25826698645146967,0.21829232822462533
146.0,0.20490121807460038,0.2382427109552862,0.2571960099360506,0.21793483901429286
147.0,0.20486644511713256,0.23748793710580687,0.2561412995768594,0.21758304634912723
148.0,0.20483313094731623,0.23674312054445854,0.25510260652869987,0.21723684293118078
149.0,0.20480121436630422,0.23600812460207954,0.25407968578714624,0.21689612406643288
150.0,0.2047706367426679,0.23528281457641628,0.25307229612861176,0.2165607875824106
